CarName;HK;KM;KmPerLiter;KMT;Price;Year
Toyota Yaris 1.4 D... Terra 5d;90;171;22.2;10.7;49900;2008
Toyota Yaris 1.3 V...omfort 5d;99;310;20.4;11.7;129800;2015
Toyota Avensis 1.8...st.car 5d;147;90;15.2;9.7;179900;2014
Ford Mondeo 2.0 TD...r aut. 5d;163;89.0;19.2;9.8;239900;2014
Mercedes E200 2.2 ...r aut. 5d;136;250.0;18.9;10.1;299000;2014
BMW 318i 1.5 Tou0 5d;136;15.0;18.5;9.2;339900;2017
Skoda Fabia 1.2 12... Combi 5d;70;173.0;16.9;15.1;44900;2008
Nissan Qashqai 1.5... Tekna 5d;110;7.0;25;11.9;264700;2017
Toyota C0HR 1.2 T C0HIC 5d;116;8.0;16.7;10.9;289900;2016
Audi A5 2.0 TFSi 2...ltitr. 2d;211;95.0;13.5;7.5;149900;2010
Nissan Note 1.4 Visia 5d;88;31.0;16.9;13.1;94900;2013
VW Passat 2.0 TDi ...i. DSG 5d;150;29.0;22.2;8.9;339900;2015
Citroxebn Berling...uction 5d;92;97.0;19.2;14.3;89900;2012
Nissan Qashqai 1.6... X0tr. 5d;130;42.0;21.7;10.7;284900;2014
Volvo C30 1.6 D2 115 3d;115;76.0;27.8;11.3;184900;2013
Mercedes V250 d 2....aut. lang;190;7.0;16.7;9.1;1029900;2017
VW Golf VII 1.6 TD...DSG BM 5d;105;68.0;25;11.00;199900;2015
Citroxebn DS4 1.6... Style 5d;112;70.0;22.2;12.4;149900;2012
Ford Ka 1.2 Titanium 3d;69;58.0;20.4;13.1;59900;2014
Hyundai i30 1.6 CR...CW ISG 5d;90;137.0;22.2;13.9;88900;2011
Suzuki Baleno 1.2 ...e SHVS 5d;90;0.0;0;12.3;161900;2018
BMW 320d 2.0 Touri...g aut. 5d;184;120.0;21.3;7.6;324900;2012
VW Touran 1.6 TDi ...SG BMT 5d;110;28.0;23.3;11.9;334900;2016
Mercedes ML350 3.0...t. 40M 5d;258;90.0;13.5;7.4;799900;2013
Ford Transit 300S ...biente 5d;85;102.0;12.7;0;249900;2011
Skoda Fabia 1.2 12... Fresh 5d;70;27.0;18.2;15.00;97900;2013
Renault Captur 1.5...ession 5d;90;14.0;27;13.1;164900;2016
Seat Ibiza 1.2 TSi...ST eco 5d;105;88.0;19.6;10.2;89700;2012
Nissan Qashqai 1.5... Tekna 5d;110;36.0;26.3;12.4;239900;2015
Ford C0MAX 1.6 TDC...tanium 5d;115;184.0;22.7;11.3;109900;2012
Audi A4 2.0 TDi 13... Avant 5d;136;83.0;21.3;9.8;249900;2013
Nissan Qashqai 1.5...Vision 5d;110;8.0;26.3;12.4;264900;2017
Chevrolet Aveo 1.2 LS 3d;84;123.0;18.2;12.8;44800;2012
Hyundai i20 1.0 T0...Sp0 5d;100;0.0;23.3;10.7;159192;2017
VW Golf VII 1.4 GTE DSG 5d;204;28.0;0;7.6;359900;2016
BMW 330d 3.0 Touri...teptr. 5d;231;284.0;13.2;6.8;149900;2007
Peugeot Partner 1....S0line 5d;90;135.0;18.5;13.4;44800;2007
Mercedes E250 2.2 .... 7prs 5d;204;63.0;19.2;7.8;448900;2013
Ford Tourneo Custo... Titanium;130;5.0;15.9;0;509900;2017
Citroxebn Berling...uction 5d;92;72.0;19.2;14.3;134900;2014
VW Golf VII 1.6 TD...ariant 5d;110;68.0;30.3;11.00;189900;2015
Ford Mondeo 2.0 TD...st.car 5d;140;137.0;21.7;9.8;159900;2014
Mercedes C220 2.2 ...ut. BE 4d;170;72.0;20.8;8.1;259900;2011
Mercedes B180 d 1.... rban 5d;109;42.0;24.4;11.6;239800;2016
Opel Astra 1.4 T 1...joy ST 5d;150;20.0;20.4;8.9;239900;2017
Toyota Yaris 1.5 H... e0CVT 5d;100;10.0;0;11.8;174900;2017
Nissan Qashqai 1.2... Tekna 5d;115;54.0;17.9;11.3;229900;2015
Ford Galaxy 2.0 TD...m aut. 5d;180;29.0;19.2;9.6;399000;2017
Audi A3 1.6 Ambition 3d;101;195.0;13.2;11.00;24900;1997
Ford Focus 2.0 TDC...r aut. 5d;163;139.0;19.2;9.1;149900;2013
Suzuki Swift 1.0 B...e SHVS 5d;112;2.0;0;10.6;169900;2017
Nissan Qashqai 1.2...nnecta 5d;115;8.0;17.9;11.3;229900;2016
