,% difference,area,new price,old price,price difference,property area,rooms,type,zip code
0,-5 %,93 m²,6.500.000,6.200.000,-300.000,0 m²,2, Ejerlejlighed,1051 København K
1,-1 %,80 m²,4.150.000,4.100.000,-50.000,0 m²,2, Ejerlejlighed,1055 København K
2,-6 %,76 m²,4.800.000,4.495.000,-305.000,0 m²,3, Ejerlejlighed,1123 København K
3,-5 %,104 m²,6.650.000,6.295.000,-355.000,229 m²,3, Ejerlejlighed,1150 København K
4,-3 %,73 m²,3.350.000,3.250.000,-100.000,0 m²,2, Ejerlejlighed,1302 København K
5,-17 %,64 m²,2.995.000,2.495.000,-500.000,0 m²,2, Ejerlejlighed,1307 København K
6,-6 %,255 m²,15.995.000,14.995.000,-1.000.000,0 m²,7, Ejerlejlighed,1357 København K
7,-12 %,274 m²,25.000.000,22.000.000,-3.000.000,0 m²,2, Ejerlejlighed,1407 København K
8,-4 %,114 m²,5.300.000,5.095.000,-205.000,0 m²,3, Ejerlejlighed,1432 København K
9,-5 %,109 m²,5.795.000,5.500.000,-295.000,0 m²,3, Ejerlejlighed,1437 København K
10,-3 %,113 m²,6.495.000,6.295.000,-200.000,0 m²,4, Ejerlejlighed,1561 København V
11,-1 %,70 m²,2.375.000,2.345.000,-30.000,0 m²,2, Ejerlejlighed,1666 København V
12,-6 %,85 m²,1.795.120,1.695.000,-100.120,0 m²,3, Andelsbolig,1704 København V
13,-5 %,85 m²,2.835.867,2.685.467,-150.400,0 m²,4, Andelsbolig,1709 København V
14,-4 %,77 m²,3.995.000,3.845.000,-150.000,0 m²,3, Ejerlejlighed,1725 København V
15,-5 %,137 m²,8.799.000,8.395.000,-404.000,75 m²,6, Rækkehus,1770 København V
16,-4 %,153 m²,7.495.000,7.195.000,-300.000,0 m²,6, Ejerlejlighed,1800 Frederiksberg C
17,-4 %,179 m²,11.995.000,11.495.000,-500.000,0 m²,4, Ejerlejlighed,1809 Frederiksberg C
18,-3 %,90 m²,4.795.000,4.645.000,-150.000,0 m²,3, Ejerlejlighed,1817 Frederiksberg C
19,-2 %,126 m²,6.500.000,6.350.000,-150.000,0 m²,4, Ejerlejlighed,1820 Frederiksberg C
20,-8 %,111 m²,5.995.000,5.495.000,-500.000,0 m²,4, Ejerlejlighed,1824 Frederiksberg C
